Race #,WPM,Accuracy,Rank,# Racers,Text ID,Date/Time (UTC)
1,42,0.94,3,5,4070188,2020-07-03 14:48:31
2,53,0.97,1,5,3811281,2020-07-03 14:49:40
3,57,0.97,2,5,230,2020-07-03 14:51:31
4,50,0.97,3,4,3100020,2020-07-03 14:54:08
5,51,0.95,3,5,700,2020-07-03 14:57:17
6,51,0.97,1,5,3810214,2020-07-03 14:58:44
7,51,0.96,4,4,4060155,2020-07-04 01:04:14
8,49,0.97,4,5,3620374,2020-07-04 01:13:39
9,40,0.97,5,5,4350364,2020-07-04 07:32:11
10,59,0.97,2,3,4180782,2020-07-04 07:33:15
11,58,0.96,3,5,4180859,2020-07-04 07:34:38
12,45,0.94,3,3,4350419,2020-07-04 07:37:14
13,42,0.95,5,5,3622392,2020-07-04 07:42:09
14,50,0.96,3,5,318,2020-07-04 07:43:17
15,36,0.92,4,4,3550672,2020-07-05 08:40:33
16,46,0.94,3,5,3622208,2020-07-05 08:42:12
17,49,0.94,2,5,4350344,2020-07-05 08:43:27
18,54,0.96,1,5,3622265,2020-07-05 08:45:08
19,47,0.93,4,5,4350066,2020-07-05 08:45:42
20,54,0.97,1,3,554,2020-07-05 08:46:39
21,55,0.97,4,5,4180306,2020-07-05 08:49:38
22,55,0.97,1,5,4350367,2020-07-05 08:50:43
23,57,0.96,2,5,3550800,2020-07-05 08:52:51
24,54,0.97,3,5,3811107,2020-07-05 08:53:57
25,52,0.96,4,5,4180313,2020-07-05 08:56:40
26,45,0.96,5,5,4060256,2020-07-05 08:58:10
27,49,0.95,2,5,4060120,2020-07-05 08:59:46
28,45,0.96,3,5,3810829,2020-07-05 09:01:28
29,50,0.94,4,5,3950013,2020-07-05 09:02:22
30,54,0.95,2,5,3550790,2020-07-05 09:03:42
31,55,0.97,1,4,3100063,2020-07-05 09:05:38
32,55,0.97,4,5,3100043,2020-07-05 09:07:16
33,48,0.96,4,5,4180222,2020-07-05 09:08:57
34,55,0.97,1,4,3811102,2020-07-05 09:09:52
35,57,0.97,1,4,3550426,2020-07-05 09:11:16
36,55,0.96,1,4,4180751,2020-07-05 09:12:59
37,48,0.94,4,5,3100092,2020-07-05 09:14:34
38,63,0.98,1,5,3641259,2020-07-05 09:15:11
39,59,0.94,2,5,4180518,2020-07-05 09:16:01
40,55,0.95,3,5,3640375,2020-07-06 10:54:18
41,53,0.96,3,5,3640999,2020-07-06 10:56:41
42,56,0.96,2,4,134,2020-07-06 10:57:47
43,49,0.93,3,5,3550127,2020-07-06 10:58:57
44,66,0.96,1,3,4180722,2020-07-06 11:00:02
45,41,0.95,3,5,3811048,2020-07-08 07:08:10
46,54,0.95,4,5,3620000,2020-07-08 07:09:34
47,53,0.95,5,5,3811452,2020-07-08 07:10:41
48,52,0.95,3,5,3641199,2020-07-08 07:11:29
49,53,0.95,3,5,4180274,2020-07-08 07:12:33
50,54,0.96,3,5,3810821,2020-07-08 07:13:47
51,60,0.95,1,4,573,2020-07-08 07:14:34
52,54,0.95,2,5,4180320,2020-07-08 07:16:09
53,62,0.97,1,5,3550803,2020-07-08 07:16:47
54,54,0.95,2,5,20,2020-07-08 07:18:06
55,60,0.95,1,5,3551129,2020-07-08 07:18:43
56,57,0.96,1,5,4180534,2020-07-08 07:20:11
57,46,0.94,3,4,4060247,2020-07-08 07:21:19
58,54,0.95,5,5,3640439,2020-07-08 07:22:17
59,67,0.97,1,5,3811411,2020-07-08 07:23:41
60,47,0.94,4,5,3620633,2020-07-08 07:24:59
61,58,0.97,2,5,3950045,2020-07-08 07:26:07
62,55,0.95,2,5,360,2020-07-08 07:27:32
63,55,0.96,1,3,4180791,2020-07-08 07:29:17
64,60,0.96,2,5,3810427,2020-07-08 07:31:43
65,60,0.95,1,5,3622462,2020-07-08 07:33:26
66,65,0.97,1,5,3550352,2020-07-08 07:34:42
67,53,0.96,4,5,3640681,2020-07-08 10:37:31
68,51,0.96,4,5,399,2020-07-08 13:03:04
69,58,0.95,5,5,4180529,2020-07-08 13:04:37
70,52,0.96,2,5,4180423,2020-07-08 13:05:57
71,62,0.97,5,5,694,2020-07-08 13:06:47
72,56,0.96,4,5,4350075,2020-07-08 13:08:42
73,48,0.95,4,5,3810395,2020-07-08 13:09:35
74,56,0.97,2,5,3810914,2020-07-08 13:10:44
75,53,0.97,4,5,3621809,2020-07-09 02:19:34
76,59,0.96,3,5,4180505,2020-07-09 02:20:55
77,55,0.96,5,5,4070228,2020-07-09 02:21:41
